id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
wemix-token,0.593383,249914468,-12.19589,24.71,0.128398,16-03-2025_23-24-02
deep,0.089548,223900464,-11.70721,0.341085,0.01073218,16-03-2025_23-24-02
snek,0.00306136,227983499,-11.05116,0.00895508,0.00013847,16-03-2025_23-24-02
hyperliquid,13.08,4378574114,-9.96112,34.96,3.81,16-03-2025_23-24-02
sonic-3,0.498659,1583243470,-9.80478,1.029,0.359647,16-03-2025_23-24-02
pepe,6.55e-06,2754575903,-9.78127,2.803e-05,5.5142e-08,16-03-2025_23-24-02
kaspa,0.073784,1905958812,-9.35782,0.207411,0.00017105,16-03-2025_23-24-02
fartcoin,0.308536,309323682,-8.93429,2.48,0.02002855,16-03-2025_23-24-02
jasmycoin,0.01365216,660802384,-8.90924,4.79,0.00275026,16-03-2025_23-24-02
jupiter-exchange-solana,0.4881,1313818809,-8.52225,2.0,0.454413,16-03-2025_23-24-02
